"filename", "language", "SCSS", "JavaScript JSX", "JavaScript", "comment", "blank", "total"
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/MaterialsPage/Landing/style.module.scss", "SCSS", 55, 0, 0, 0, 5, 60
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/Preloader/anim.js", "JavaScript", 0, 0, 18, 0, 3, 21
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/Preloader/index.jsx", "JavaScript JSX", 0, 42, 0, 1, 8, 51
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/Preloader/style.module.scss", "SCSS", 35, 0, 0, 0, 0, 35
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsPage/Projects/IconList/index.jsx", "JavaScript JSX", 0, 146, 0, 6, 22, 174
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsPage/Projects/IconList/style.module.scss", "SCSS", 81, 0, 0, 0, 3, 84
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsPage/Projects/Model/index.jsx", "JavaScript JSX", 0, 70, 0, 10, 13, 93
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsPage/Projects/Projects/index.jsx", "JavaScript JSX", 0, 49, 0, 0, 4, 53
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsPage/Projects/Projects/styles.module.scss", "SCSS", 58, 0, 0, 0, 6, 64
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsPage/Projects/Scene/index.jsx", "JavaScript JSX", 0, 12, 0, 0, 3, 15
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsPage/Projects/Scene/style.module.scss", "SCSS", 14, 0, 0, 0, 1, 15
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsPage/Projects/Shader/index.js", "JavaScript", 0, 0, 24, 3, 3, 30
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsPage/Projects/anim.js", "JavaScript", 0, 0, 79, 1, 5, 85
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsPage/Projects/index.jsx", "JavaScript JSX", 0, 116, 0, 1, 13, 130
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsPage/Projects/styles.module.scss", "SCSS", 149, 0, 0, 1, 17, 167
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsTemplate/Intro/index.jsx", "JavaScript JSX", 0, 22, 0, 0, 9, 31
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsTemplate/Intro/style.module.scss", "SCSS", 13, 0, 0, 0, 0, 13
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsTemplate/NextProjects/Projects/index.jsx", "JavaScript JSX", 0, 148, 0, 12, 32, 192
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsTemplate/NextProjects/Projects/style.module.scss", "SCSS", 76, 0, 0, 0, 5, 81
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsTemplate/NextProjects/index.jsx", "JavaScript JSX", 0, 30, 0, 0, 9, 39
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsTemplate/NextProjects/style.module.scss", "SCSS", 78, 0, 0, 0, 6, 84
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsTemplate/Sections/Introduction/index.jsx", "JavaScript JSX", 0, 35, 0, 1, 4, 40
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsTemplate/Sections/Introduction/style.module.scss", "SCSS", 83, 0, 0, 0, 5, 88
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsTemplate/Sections/MobileView/Projects/index.jsx", "JavaScript JSX", 0, 64, 0, 1, 5, 70
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsTemplate/Sections/MobileView/Projects/style.module.scss", "SCSS", 57, 0, 0, 0, 1, 58
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsTemplate/Sections/MobileView/index.jsx", "JavaScript JSX", 0, 27, 0, 0, 8, 35
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsTemplate/Sections/MobileView/style.module.scss", "SCSS", 76, 0, 0, 0, 5, 81
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsTemplate/Sections/Services/index.jsx", "JavaScript JSX", 0, 57, 0, 1, 6, 64
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsTemplate/Sections/Services/style.module.scss", "SCSS", 83, 0, 0, 0, 4, 87
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsTemplate/Sections/StyleChoice/index.jsx", "JavaScript JSX", 0, 35, 0, 1, 4, 40
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsTemplate/Sections/StyleChoice/style.module.scss", "SCSS", 85, 0, 0, 0, 6, 91
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsTemplate/Sections/index.jsx", "JavaScript JSX", 0, 33, 0, 3, 6, 42
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsTemplate/Sections/style.module.scss", "SCSS", 33, 0, 0, 0, 2, 35
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsTemplate/TopBar/index.jsx", "JavaScript JSX", 0, 40, 0, 0, 7, 47
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsTemplate/TopBar/style.module.scss", "SCSS", 58, 0, 0, 0, 6, 64
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/anim.js", "JavaScript", 0, 0, 120, 1, 10, 131
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/common/Description/index.jsx", "JavaScript JSX", 0, 53, 0, 1, 7, 61
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/common/Description/style.module.scss", "SCSS", 25, 0, 0, 0, 2, 27
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/common/Footer/index.jsx", "JavaScript JSX", 0, 164, 0, 42, 41, 247
