"filename", "language", "JavaScript JSX", "JavaScript", "SCSS", "comment", "blank", "total"
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/MaterialsPage/FreeStuff/style.module.scss", "SCSS", 0, 0, -1, 0, 0, -1
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/MaterialsPage/Landing/style.module.scss", "SCSS", 0, 0, 1, 0, 0, 1
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/Navbar/index.jsx", "JavaScript JSX", -45, 0, 0, -3, -6, -54
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/Navbar/style.module.scss", "SCSS", 0, 0, -190, 0, -9, -199
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsPage/Projects/IconList/index.jsx", "JavaScript JSX", -7, 0, 0, 0, 0, -7
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsPage/Projects/IconList/style.module.scss", "SCSS", 0, 0, 2, 0, 0, 2
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsPage/Projects/index.jsx", "JavaScript JSX", -1, 0, 0, -1, 1, -1
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsPage/Projects/styles.module.scss", "SCSS", 0, 0, 1, 1, 0, 2
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsTemplate/Description/index.jsx", "JavaScript JSX", -58, 0, 0, -1, -8, -67
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsTemplate/Description/style.module.scss", "SCSS", 0, 0, -25, 0, -2, -27
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsTemplate/NextProjects/Projects/index.jsx", "JavaScript JSX", -16, 0, 0, 6, 5, -5
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsTemplate/NextProjects/Projects/style.module.scss", "SCSS", 0, 0, -5, 0, 0, -5
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsTemplate/ParallaxZoom/index.jsx", "JavaScript JSX", -170, 0, 0, -3, -19, -192
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsTemplate/ParallaxZoom/style.module.scss", "SCSS", 0, 0, -106, 0, -4, -110
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsTemplate/Sections/Introduction/index.jsx", "JavaScript JSX", -22, 0, 0, 0, -2, -24
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsTemplate/Sections/Introduction/style.module.scss", "SCSS", 0, 0, 1, 0, 0, 1
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/ProjectsTemplate/Sections/MobileView/Projects/index.jsx", "JavaScript JSX", -17, 0, 0, 0, -1, -18
