"filename", "language", "JavaScript", "SCSS", "JavaScript JSX", "comment", "blank", "total"
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/FreeStuff/style.module.scss", "SCSS", 0, 76, 0, 0, 5, 81
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/IntroText/index.jsx", "JavaScript JSX", 0, 0, 78, 12, 18, 108
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/IntroText/style.module.scss", "SCSS", 0, 54, 0, 0, 1, 55
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/Landing/index.jsx", "JavaScript JSX", 0, 0, 69, 2, 7, 78
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/Landing/style.module.scss", "SCSS", 0, 52, 0, 0, 4, 56
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/MainOffer/Timer/index.jsx", "JavaScript JSX", 0, 0, 38, 0, 9, 47
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/MainOffer/Timer/style.module.scss", "SCSS", 0, 5, 0, 0, 0, 5
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/MainOffer/index.jsx", "JavaScript JSX", 0, 0, 67, 1, 7, 75
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/MainOffer/style.module.scss", "SCSS", 0, 107, 0, 0, 0, 107
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/NewestWork/Model/index.jsx", "JavaScript JSX", 0, 0, 68, 11, 11, 90
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/NewestWork/Projects/index.jsx", "JavaScript JSX", 0, 0, 37, 1, 3, 41
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/NewestWork/Projects/styles.module.scss", "SCSS", 0, 73, 0, 0, 5, 78
"/Users/matejforejt/Desktop/Projects/porfolio-final/src/components/LandingPage/NewestWork/Scene/index.jsx", "JavaScript JSX", 0, 0, 12, 2, 3, 17
